Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events
Hanna Etula,F,Finland,FIN,2008,Beijing,Shooting,"Shooting Women's Air Rifle, 10 metres",No medal,Shooting,SHO,True
Hanna Etula,F,Finland,FIN,2008,Beijing,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",No medal,Shooting,SHO,True
Marjut Heinonen,F,Finland,FIN,2008,Beijing,Shooting,Shooting Women's Skeet,No medal,Shooting,SHO,False
Pia Julin,F,Finland,FIN,2000,Sydney,Shooting,Shooting Women's Double Trap,No medal,Shooting,SHO,False
Maarit Lepomki,F,Finland,FIN,2000,Sydney,Shooting,Shooting Women's Skeet,No medal,Shooting,SHO,True
Maarit Lepomki,F,Finland,FIN,2004,Athina,Shooting,Shooting Women's Skeet,No medal,Shooting,SHO,True
Satu Mkel-nummela,F,Finland,FIN,2008,Beijing,Shooting,Shooting Women's Trap,Gold,Shooting,SHO,True
Satu Mkel-nummela,F,Finland,FIN,2012,London,Shooting,Shooting Women's Trap,No medal,Shooting,SHO,True
Satu Mkel-nummela,F,Finland,FIN,2016,Rio de Janeiro,Shooting,Shooting Women's Trap,No medal,Shooting,SHO,True
Riitta-Mari (-vainio),F,Finland,FIN,1996,Atlanta,Shooting,Shooting Women's Double Trap,No medal,Shooting,SHO,False
Mira Nevansuu-suhonen,F,Finland,FIN,2008,Beijing,Shooting,"Shooting Women's Air Pistol, 10 metres",No medal,Shooting,SHO,True
Mira Nevansuu-suhonen,F,Finland,FIN,2012,London,Shooting,"Shooting Women's Air Pistol, 10 metres",No medal,Shooting,SHO,True
Pirjo Peltola,F,Finland,FIN,1988,Seoul,Shooting,"Shooting Women's Air Rifle, 10 metres",No medal,Shooting,SHO,True
Pirjo Peltola,F,Finland,FIN,1988,Seoul,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",No medal,Shooting,SHO,True
Pirjo Peltola,F,Finland,FIN,1992,Barcelona,Shooting,"Shooting Women's Air Rifle, 10 metres",No medal,Shooting,SHO,True
Pirjo Peltola,F,Finland,FIN,1992,Barcelona,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",No medal,Shooting,SHO,True
Satu Pusila,F,Finland,FIN,1996,Atlanta,Shooting,Shooting Women's Double Trap,No medal,Shooting,SHO,True
Satu Pusila,F,Finland,FIN,2000,Sydney,Shooting,Shooting Women's Trap,No medal,Shooting,SHO,True
Satu Pusila,F,Finland,FIN,2000,Sydney,Shooting,Shooting Women's Double Trap,No medal,Shooting,SHO,True
Marjo Yli-kiikka,F,Finland,FIN,2004,Athina,Shooting,"Shooting Women's Air Rifle, 10 metres",No medal,Shooting,SHO,True
Marjo Yli-kiikka,F,Finland,FIN,2004,Athina,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",No medal,Shooting,SHO,True
Marjo Yli-kiikka,F,Finland,FIN,2008,Beijing,Shooting,"Shooting Women's Air Rifle, 10 metres",No medal,Shooting,SHO,True
Marjo Yli-kiikka,F,Finland,FIN,2008,Beijing,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",No medal,Shooting,SHO,True
Marjo Yli-kiikka,F,Finland,FIN,2012,London,Shooting,"Shooting Women's Air Rifle, 10 metres",No medal,Shooting,SHO,True
Marjo Yli-kiikka,F,Finland,FIN,2012,London,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",No medal,Shooting,SHO,True
Sirpa (-vesanen),F,Finland,FIN,1984,Los Angeles,Shooting,"Shooting Women's Air Rifle, 10 metres",No medal,Shooting,SHO,True
Sirpa (-vesanen),F,Finland,FIN,1984,Los Angeles,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",No medal,Shooting,SHO,True
Sirpa (-vesanen),F,Finland,FIN,1988,Seoul,Shooting,"Shooting Women's Air Rifle, 10 metres",No medal,Shooting,SHO,True
Sirpa (-vesanen),F,Finland,FIN,1988,Seoul,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",No medal,Shooting,SHO,True
Satu Makela-nummela,F,Finland,FIN,2020,Tokyo,Shooting,Trap Women,No medal,Trap,SHO,False
Noora Antikainen,F,Finland,FIN,2024,Paris,Shooting,Trap Women,No medal,Trap,SHO,False
