Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events
Gang Hui-chan,M,South Korea,KOR,1992,Barcelona,Table Tennis,Table Tennis Men's Singles,No medal,Table,TTE,False
Jeoung Young-sik,M,South Korea,KOR,2016,Rio de Janeiro,Table Tennis,Table Tennis Men's Singles,No medal,Table,TTE,True
Jeoung Young-sik,M,South Korea,KOR,2016,Rio de Janeiro,Table Tennis,Table Tennis Men's Team,No medal,Table,TTE,True
Ju Se-hyeok,M,South Korea,KOR,2004,Athina,Table Tennis,Table Tennis Men's Singles,No medal,Table,TTE,True
Ju Se-hyeok,M,South Korea,KOR,2012,London,Table Tennis,Table Tennis Men's Singles,No medal,Table,TTE,True
Ju Se-hyeok,M,South Korea,KOR,2012,London,Table Tennis,Table Tennis Men's Team,Silver,Table,TTE,True
Ju Se-hyeok,M,South Korea,KOR,2016,Rio de Janeiro,Table Tennis,Table Tennis Men's Team,No medal,Table,TTE,True
Kim Gi-taek,M,South Korea,KOR,1988,Seoul,Table Tennis,Table Tennis Men's Singles,Silver,Table,TTE,False
Kim Taek-su,M,South Korea,KOR,1992,Barcelona,Table Tennis,Table Tennis Men's Singles,Bronze,Table,TTE,True
Kim Taek-su,M,South Korea,KOR,1996,Atlanta,Table Tennis,Table Tennis Men's Singles,No medal,Table,TTE,True
Kim Taek-su,M,South Korea,KOR,2000,Sydney,Table Tennis,Table Tennis Men's Singles,No medal,Table,TTE,True
Kim Wan,M,South Korea,KOR,1988,Seoul,Table Tennis,Table Tennis Men's Singles,No medal,Table,TTE,False
Lee Cheol-seung,M,South Korea,KOR,1996,Atlanta,Table Tennis,Table Tennis Men's Singles,No medal,Table,TTE,True
Lee Cheol-seung,M,South Korea,KOR,2000,Sydney,Table Tennis,Table Tennis Men's Singles,No medal,Table,TTE,True
Lee Sang-su,M,South Korea,KOR,2016,Rio de Janeiro,Table Tennis,Table Tennis Men's Singles,No medal,Table,TTE,True
Lee Sang-su,M,South Korea,KOR,2016,Rio de Janeiro,Table Tennis,Table Tennis Men's Team,No medal,Table,TTE,True
O Sang-eun,M,South Korea,KOR,2004,Athina,Table Tennis,Table Tennis Men's Singles,No medal,Table,TTE,True
O Sang-eun,M,South Korea,KOR,2008,Beijing,Table Tennis,Table Tennis Men's Singles,No medal,Table,TTE,True
O Sang-eun,M,South Korea,KOR,2008,Beijing,Table Tennis,Table Tennis Men's Team,Bronze,Table,TTE,True
O Sang-eun,M,South Korea,KOR,2012,London,Table Tennis,Table Tennis Men's Singles,No medal,Table,TTE,True
O Sang-eun,M,South Korea,KOR,2012,London,Table Tennis,Table Tennis Men's Team,Silver,Table,TTE,True
Yoon Jae-young,M,South Korea,KOR,2008,Beijing,Table Tennis,Table Tennis Men's Singles,No medal,Table,TTE,True
Yoon Jae-young,M,South Korea,KOR,2008,Beijing,Table Tennis,Table Tennis Men's Team,Bronze,Table,TTE,True
Yu Nam-gyu,M,South Korea,KOR,1988,Seoul,Table Tennis,Table Tennis Men's Singles,Gold,Table,TTE,True
Yu Nam-gyu,M,South Korea,KOR,1992,Barcelona,Table Tennis,Table Tennis Men's Singles,No medal,Table,TTE,True
Yu Nam-gyu,M,South Korea,KOR,1996,Atlanta,Table Tennis,Table Tennis Men's Singles,No medal,Table,TTE,True
Yu Seung-min,M,South Korea,KOR,2000,Sydney,Table Tennis,Table Tennis Men's Singles,No medal,Table,TTE,True
Yu Seung-min,M,South Korea,KOR,2004,Athina,Table Tennis,Table Tennis Men's Singles,Gold,Table,TTE,True
Yu Seung-min,M,South Korea,KOR,2008,Beijing,Table Tennis,Table Tennis Men's Singles,No medal,Table,TTE,True
Yu Seung-min,M,South Korea,KOR,2008,Beijing,Table Tennis,Table Tennis Men's Team,Bronze,Table,TTE,True
Yu Seung-min,M,South Korea,KOR,2012,London,Table Tennis,Table Tennis Men's Team,Silver,Table,TTE,True
Woojin Jang,M,South Korea,KOR,2020,Tokyo,Table Tennis,Men's Singles,No medal,Men's,TTE,True
Woojin Jang,M,South Korea,KOR,2020,Tokyo,Table Tennis,Men's Team,No medal,Men's,TTE,True
Youngsik Jeoung,M,South Korea,KOR,2020,Tokyo,Table Tennis,Men's Singles,No medal,Men's,TTE,True
Youngsik Jeoung,M,South Korea,KOR,2020,Tokyo,Table Tennis,Men's Team,No medal,Men's,TTE,True
Sangsu Lee,M,South Korea,KOR,2020,Tokyo,Table Tennis,Mixed Doubles Team,No medal,Mixed,TTE,True
Sangsu Lee,M,South Korea,KOR,2020,Tokyo,Table Tennis,Men's Team,No medal,Men's,TTE,True
