Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events,First Event
Alexis Macas,F,Mexico,MEX,2012,London,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",No medal,Shooting,SHO,False,True
Nuria Campos,F,Mexico,MEX,1968,Mexico City,Shooting,Shooting Mixed Skeet,No medal,Shooting,SHO,True,True
Nuria Campos,F,Mexico,MEX,1972,Munich,Shooting,Shooting Mixed Skeet,No medal,Shooting,SHO,True,False
Nuria Campos,F,Mexico,MEX,1984,Los Angeles,Shooting,Shooting Mixed Skeet,No medal,Shooting,SHO,True,False
Nuria Campos,F,Mexico,MEX,1988,Seoul,Shooting,Shooting Mixed Skeet,No medal,Shooting,SHO,True,False
Mnica Patron,F,Mexico,MEX,1984,Los Angeles,Shooting,"Shooting Women's Sporting Pistol, 25 metres",No medal,Shooting,SHO,False,True
Rosa Rocamontes,F,Mexico,MEX,2012,London,Shooting,"Shooting Women's Air Rifle, 10 metres",No medal,Shooting,SHO,False,True
Natalia Lara,F,Mexico,MEX,2008,Beijing,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",No medal,Shooting,SHO,False,True
Alejandra Vzquez,F,Mexico,MEX,2012,London,Shooting,"Shooting Women's Air Pistol, 10 metres",No medal,Shooting,SHO,True,True
Alejandra Vzquez,F,Mexico,MEX,2016,Rio de Janeiro,Shooting,"Shooting Women's Air Pistol, 10 metres",No medal,Shooting,SHO,True,False
Goretti Flores,F,Mexico,MEX,2016,Rio de Janeiro,Shooting,"Shooting Women's Air Rifle, 10 metres",No medal,Shooting,SHO,False,True
Alejandra Ramirez,F,Mexico,MEX,2020,Tokyo,Shooting,Trap Women,No medal,Trap,SHO,True,True
Alejandra Ramirez,F,Mexico,MEX,2020,Tokyo,Shooting,Trap Mixed Team,No medal,Trap,SHO,True,True
Gabriela Rodriguez,F,Mexico,MEX,2020,Tokyo,Shooting,Skeet Women,No medal,Skeet,SHO,True,True
Gabriela Rodriguez,F,Mexico,MEX,2024,Paris,Shooting,Skeet Women,No medal,Skeet,SHO,True,False
Alejandra Zavala,F,Mexico,MEX,2024,Paris,Shooting,10m Air Pistol Women,No medal,10m,SHO,True,True
Alejandra Zavala,F,Mexico,MEX,2024,Paris,Shooting,25m Pistol Women,No medal,25m,SHO,True,True
Alejandra Zumaya,F,Mexico,MEX,2024,Paris,Shooting,10m Air Rifle Women,No medal,10m,SHO,True,True
Alejandra Zumaya,F,Mexico,MEX,2024,Paris,Shooting,10m Air Rifle Mixed Team,No medal,10m,SHO,True,True
