Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events
Daniel Andr,M,Mauritius,MRI,1984,Los Angeles,Athletics,Athletics Men's 100 metres,No medal,Athletics,ATH,True
Daniel Andr,M,Mauritius,MRI,1984,Los Angeles,Athletics,Athletics Men's 200 metres,No medal,Athletics,ATH,True
Daniel Andr,M,Mauritius,MRI,1984,Los Angeles,Athletics,Athletics Men's 400 metres,No medal,Athletics,ATH,True
Jean Augustin,M,Mauritius,MRI,2000,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,No medal,Athletics,ATH,False
Dominique Bchard,M,Mauritius,MRI,1984,Los Angeles,Athletics,Athletics Men's Discus Throw,No medal,Athletics,ATH,True
Dominique Bchard,M,Mauritius,MRI,1984,Los Angeles,Athletics,Athletics Men's Hammer Throw,No medal,Athletics,ATH,True
Stphane Buckland,M,Mauritius,MRI,2000,Sydney,Athletics,Athletics Men's 100 metres,No medal,Athletics,ATH,True
Stphane Buckland,M,Mauritius,MRI,2000,Sydney,Athletics,Athletics Men's 200 metres,No medal,Athletics,ATH,True
Stphane Buckland,M,Mauritius,MRI,2000,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,No medal,Athletics,ATH,True
Stphane Buckland,M,Mauritius,MRI,2004,Athina,Athletics,Athletics Men's 200 metres,No medal,Athletics,ATH,True
Stphane Buckland,M,Mauritius,MRI,2008,Beijing,Athletics,Athletics Men's 200 metres,No medal,Athletics,ATH,True
David Carver,M,Mauritius,MRI,2016,Rio de Janeiro,Athletics,Athletics Men's Marathon,No medal,Athletics,ATH,False
Arnaud Casquette,M,Mauritius,MRI,1996,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,No medal,Athletics,ATH,True
Arnaud Casquette,M,Mauritius,MRI,2000,Sydney,Athletics,Athletics Men's Long Jump,No medal,Athletics,ATH,True
Jonathan Chimier,M,Mauritius,MRI,2000,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,No medal,Athletics,ATH,True
Jonathan Chimier,M,Mauritius,MRI,2004,Athina,Athletics,Athletics Men's Long Jump,No medal,Athletics,ATH,True
Ajay Chuttoo,M,Mauritius,MRI,1996,Atlanta,Athletics,Athletics Men's Marathon,No medal,Athletics,ATH,False
Louis Coiffic,M,Mauritius,MRI,2012,London,Athletics,Athletics Men's 100 metres,No medal,Athletics,ATH,False
Vivian Coralie,M,Mauritius,MRI,1984,Los Angeles,Athletics,Athletics Men's Decathlon,No medal,Athletics,ATH,False
Jonathan Drack,M,Mauritius,MRI,2016,Rio de Janeiro,Athletics,Athletics Men's Triple Jump,No medal,Athletics,ATH,False
Jean-Kersley Gardenne,M,Mauritius,MRI,1992,Barcelona,Athletics,Athletics Men's Pole Vault,No medal,Athletics,ATH,True
Jean-Kersley Gardenne,M,Mauritius,MRI,1996,Atlanta,Athletics,Athletics Men's Pole Vault,No medal,Athletics,ATH,True
Gilbert Hashan,M,Mauritius,MRI,1996,Atlanta,Athletics,Athletics Men's 400 metres Hurdles,No medal,Athletics,ATH,True
Gilbert Hashan,M,Mauritius,MRI,1996,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,No medal,Athletics,ATH,True
Barnab Jolicoeur,M,Mauritius,MRI,1996,Atlanta,Athletics,Athletics Men's 100 metres,No medal,Athletics,ATH,True
Barnab Jolicoeur,M,Mauritius,MRI,1996,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,No medal,Athletics,ATH,True
Pierre Lefou,M,Mauritius,MRI,1988,Seoul,Athletics,Athletics Men's 110 metres Hurdles,No medal,Athletics,ATH,True
Pierre Lefou,M,Mauritius,MRI,1992,Barcelona,Athletics,Athletics Men's 110 metres Hurdles,No medal,Athletics,ATH,True
Pierre Lefou,M,Mauritius,MRI,1996,Atlanta,Athletics,Athletics Men's 110 metres Hurdles,No medal,Athletics,ATH,True
Dominique Mypa,M,Mauritius,MRI,1996,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,No medal,Athletics,ATH,False
Jean Milazar,M,Mauritius,MRI,1996,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,No medal,Athletics,ATH,True
Jean Milazar,M,Mauritius,MRI,2000,Sydney,Athletics,Athletics Men's 400 metres,No medal,Athletics,ATH,True
Jean Milazar,M,Mauritius,MRI,2000,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,No medal,Athletics,ATH,True
Jean Milazar,M,Mauritius,MRI,2004,Athina,Athletics,Athletics Men's 400 metres,No medal,Athletics,ATH,True
Jean Milazar,M,Mauritius,MRI,2008,Beijing,Athletics,Athletics Men's 400 metres,No medal,Athletics,ATH,True
Khemraj Nako,M,Mauritius,MRI,1992,Barcelona,Athletics,Athletics Men's High Jump,No medal,Athletics,ATH,True
Khemraj Nako,M,Mauritius,MRI,1996,Atlanta,Athletics,Athletics Men's High Jump,No medal,Athletics,ATH,True
Dsir Pierre-louis,M,Mauritius,MRI,1996,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,No medal,Athletics,ATH,False
Bruno Potanah,M,Mauritius,MRI,1996,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,No medal,Athletics,ATH,False
Rudy Tirvengadum,M,Mauritius,MRI,1996,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,No medal,Athletics,ATH,False
Jeremie Lararaudeuse,M,Mauritius,MRI,2020,Tokyo,Athletics,Men's 110m Hurdles,No medal,Men's,ATH,False
Jerrel Bibi,M,Mauritius,MRI,2024,Paris,Athletics,Men's 100m,No medal,Men's,ATH,False
