Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events
Clifton Bertrand,M,West Indies Federation,WIF,1960,Roma,Athletics,Athletics Men's 200 metres,No medal,Athletics,ATH,False
Paul Foreman,M,West Indies Federation,WIF,1960,Roma,Athletics,Athletics Men's Long Jump,No medal,Athletics,ATH,False
Keith Gardner,M,West Indies Federation,WIF,1960,Roma,Athletics,Athletics Men's 110 metres Hurdles,No medal,Athletics,ATH,True
Keith Gardner,M,West Indies Federation,WIF,1960,Roma,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,Athletics,ATH,True
Dennis Johnson,M,West Indies Federation,WIF,1960,Roma,Athletics,Athletics Men's 100 metres,No medal,Athletics,ATH,True
Dennis Johnson,M,West Indies Federation,WIF,1960,Roma,Athletics,Athletics Men's 200 metres,No medal,Athletics,ATH,True
George Kerr,M,West Indies Federation,WIF,1960,Roma,Athletics,Athletics Men's 800 metres,Bronze,Athletics,ATH,True
George Kerr,M,West Indies Federation,WIF,1960,Roma,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,Athletics,ATH,True
Malcolm Spence,M,West Indies Federation,WIF,1960,Roma,Athletics,Athletics Men's 400 metres,No medal,Athletics,ATH,True
Malcolm Spence,M,West Indies Federation,WIF,1960,Roma,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,Athletics,ATH,True
James Wedderburn,M,West Indies Federation,WIF,1960,Roma,Athletics,Athletics Men's 400 metres,No medal,Athletics,ATH,True
James Wedderburn,M,West Indies Federation,WIF,1960,Roma,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,Athletics,ATH,True
