Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events
John Alexander,M,Canada,CAN,1976,Montreal,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,Modern,MPN,True
John Alexander,M,Canada,CAN,1976,Montreal,Modern Pentathlon,Modern Pentathlon Men's Team,No medal,Modern,MPN,True
Nicholas Fekete,M,Canada,CAN,1988,Seoul,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,Modern,MPN,True
Nicholas Fekete,M,Canada,CAN,1988,Seoul,Modern Pentathlon,Modern Pentathlon Men's Team,No medal,Modern,MPN,True
John Hawes,M,Canada,CAN,1976,Montreal,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,Modern,MPN,True
John Hawes,M,Canada,CAN,1976,Montreal,Modern Pentathlon,Modern Pentathlon Men's Team,No medal,Modern,MPN,True
Barry Kennedy,M,Canada,CAN,1988,Seoul,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,Modern,MPN,True
Barry Kennedy,M,Canada,CAN,1988,Seoul,Modern Pentathlon,Modern Pentathlon Men's Team,No medal,Modern,MPN,True
Lawrence Keyte,M,Canada,CAN,1988,Seoul,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,Modern,MPN,True
Lawrence Keyte,M,Canada,CAN,1988,Seoul,Modern Pentathlon,Modern Pentathlon Men's Team,No medal,Modern,MPN,True
Kenneth Maaten,M,Canada,CAN,1972,Munich,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,Modern,MPN,True
Kenneth Maaten,M,Canada,CAN,1972,Munich,Modern Pentathlon,Modern Pentathlon Men's Team,No medal,Modern,MPN,True
Joshua Riker-fox,M,Canada,CAN,2008,Beijing,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,Modern,MPN,False
Scott Scheuermann,M,Canada,CAN,1972,Munich,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,Modern,MPN,True
Scott Scheuermann,M,Canada,CAN,1972,Munich,Modern Pentathlon,Modern Pentathlon Men's Team,No medal,Modern,MPN,True
Laurie Shong,M,Canada,CAN,1992,Barcelona,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,Modern,MPN,False
George Skene,M,Canada,CAN,1972,Munich,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,Modern,MPN,True
George Skene,M,Canada,CAN,1972,Munich,Modern Pentathlon,Modern Pentathlon Men's Team,No medal,Modern,MPN,True
George Skene,M,Canada,CAN,1976,Montreal,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,Modern,MPN,True
George Skene,M,Canada,CAN,1976,Montreal,Modern Pentathlon,Modern Pentathlon Men's Team,No medal,Modern,MPN,True
Ian Soellner,M,Canada,CAN,1992,Barcelona,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,Modern,MPN,False
